Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
20,Rhizopogon Evadens,RZ18,1,2,1.217
20,Rhizopogon Evadens,RZ18,1,3,1.114
20,Rhizopogon Evadens,RZ18,1,4,1.059
20,Rhizopogon Evadens,RZ18,1,5,1.193
20,Rhizopogon Evadens,RZ18,1,6,1.205
20,Rhizopogon Evadens,RZ18,3,1,4.332
20,Rhizopogon Evadens,RZ18,3,2,4.855
20,Rhizopogon Evadens,RZ18,3,3,4.762
20,Rhizopogon Evadens,RZ18,3,4,4.842
20,Rhizopogon Evadens,RZ18,3,5,4.929
20,Rhizopogon Evadens,RZ18,3,6,4.756
20,Rhizopogon Evadens,RZ18,4,1,5.615
20,Rhizopogon Evadens,RZ18,4,2,6.117
20,Rhizopogon Evadens,RZ18,4,3,6.6226
20,Rhizopogon Evadens,RZ18,4,4,6.277
20,Rhizopogon Evadens,RZ18,4,5,5.830
20,Rhizopogon Evadens,RZ18,4,6,5.329
20,Rhizopogon Evadens,RZ18,5,1,6.646
20,Rhizopogon Evadens,RZ18,5,2,6.917
20,Rhizopogon Evadens,RZ18,5,3,6.960
20,Rhizopogon Evadens,RZ18,5,4,7.199
20,Rhizopogon Evadens,RZ18,5,5,6.710
20,Rhizopogon Evadens,RZ18,5,6,5.382
20,Rhizopogon Evadens,RZ13,1,1,0.629
20,Rhizopogon Evadens,RZ13,1,2,0.775
20,Rhizopogon Evadens,RZ13,1,3,0.649
20,Rhizopogon Evadens,RZ13,1,4,0.627
20,Rhizopogon Evadens,RZ13,1,5,0.596
20,Rhizopogon Evadens,RZ13,1,6,0.764
20,Rhizopogon Evadens,RZ13,3,1,0.629
20,Rhizopogon Evadens,RZ13,3,2,2.342
20,Rhizopogon Evadens,RZ13,3,3,2.864
20,Rhizopogon Evadens,RZ13,3,4,2.308
20,Rhizopogon Evadens,RZ13,3,5,2.451
20,Rhizopogon Evadens,RZ13,3,6,1.866
20,Rhizopogon Evadens,RZ13,4,1,0.981
20,Rhizopogon Evadens,RZ13,4,2,3.659
20,Rhizopogon Evadens,RZ13,4,3,4.078
20,Rhizopogon Evadens,RZ13,4,4,2.581
20,Rhizopogon Evadens,RZ13,4,5,4.621
20,Rhizopogon Evadens,RZ13,4,6,3.431
20,Rhizopogon Evadens,RZ13,5,1,2.774
20,Rhizopogon Evadens,RZ13,5,2,5.415
20,Rhizopogon Evadens,RZ13,5,3,5.875
20,Rhizopogon Evadens,RZ13,5,4,6.409
20,Rhizopogon Evadens,RZ13,5,5,6.91
20,Rhizopogon Evadens,RZ13,5,6,5.915
20,Rhizopogon idahoensis,RP05,1,1,0.944
20,Rhizopogon idahoensis,RP05,1,2,1.045
20,Rhizopogon idahoensis,RP05,1,3,0.63
20,Rhizopogon idahoensis,RP05,1,4,1.08
20,Rhizopogon idahoensis,RP05,1,5,0.815
20,Rhizopogon idahoensis,RP05,1,6,0.82
20,Rhizopogon idahoensis,RP05,3,1,5.454
20,Rhizopogon idahoensis,RP05,3,2,7.468
20,Rhizopogon idahoensis,RP05,3,3,4.93
20,Rhizopogon idahoensis,RP05,3,4,6.512
20,Rhizopogon idahoensis,RP05,3,5,5.374
20,Rhizopogon idahoensis,RP05,3,6,5.992
20,Rhizopogon idahoensis,RP05,4,1,7.217
20,Rhizopogon idahoensis,RP05,4,2,9.037
20,Rhizopogon idahoensis,RP05,4,3,7.047
